index,epsilon,pvalue,product,gene
RIOK3,-0.588143333333,0.000830504582052,-1.81186844564,RIOK3
STK32C_P2,-1.82093666667,0.0987078104006,-1.83122219425,STK32C
HGS,-1.16470666667,0.0264851552525,-1.83673947471,HGS
CYC1,-1.28338666667,0.035038117496,-1.86791697653,CYC1
PTK7,-1.76337,0.0867353651105,-1.87235294745,PTK7
SCYL2,-1.35531666667,0.040737450537,-1.88389850707,SCYL2
RAB7A,-1.04072,0.0154049466933,-1.88613827682,RAB7A
NDUFA10,-1.08797666667,0.0179250029111,-1.90019559984,NDUFA10
VDAC1,-0.819933333333,0.00406194276469,-1.96067886656,VDAC1
NTC_822,-1.11145,0.016904893534,-1.96947557362,NTC
RABGGTA,-1.32166333333,0.0305050230481,-2.00315080379,RABGGTA
PPP1R37,-1.09353666667,0.0143888442639,-2.01426620419,PPP1R37
COX7A1,-1.13088666667,0.0148892598969,-2.06627343738,COX7A1
SNRK,-2.07749666667,0.0925662585012,-2.14719104974,SNRK
NSF_ENST00000398238.4,-1.46229,0.0334670412389,-2.15743734081,NSF
HCN2,-0.788586666667,0.00166142500349,-2.19189182655,HCN2
CSNK1A1,-1.4093,0.0262102637947,-2.22884826732,CSNK1A1
COX5A,-1.20596666667,0.0121028322093,-2.31197435931,COX5A
MTOR,-2.93696333333,0.162089909681,-2.32091771035,MTOR
AKAP11,-2.37956333333,0.103851712814,-2.34050598104,AKAP11
WARS,-1.27966333333,0.0143888442639,-2.35710670126,WARS
TTK,-1.58856666667,0.0324534713038,-2.36496090162,TTK
CHKB,-1.51559,0.0260681105648,-2.40052852054,CHKB
ILK,-1.00328,0.0039832734214,-2.40763109397,ILK
NDUFS1,-0.98098,0.00333508912903,-2.42978205883,NDUFS1
WEE1,-2.48226,0.103851712814,-2.44151701915,WEE1
BEGAIN_P2,-1.18277333333,0.00832111350265,-2.45995392388,BEGAIN
PRPF4B,-2.03286666667,0.0601715962054,-2.4813342668,PRPF4B
CDK10,-1.43298333333,0.0179250029111,-2.50276380742,CDK10
AFG3L2,-2.54313333333,0.101979676822,-2.5214820337,AFG3L2
NDUFB7,-0.892873333333,0.00131447908027,-2.57258800699,NDUFB7
NDUFA5,-1.3466,0.0121028322093,-2.58158434913,NDUFA5
PPP1CB,-2.1812,0.06540219466,-2.58343002744,PPP1CB
GABBR1_P2,-1.05955333333,0.00353961735858,-2.59701150526,GABBR1
