sgRNA	Gene	t0	iPSC_t10_1	iPSC_t10_2
CACNB3_+_49212331.23-P1_h1_Top5	CACNB3_P1	3502.0	7582.0	8464.0
CACNB3_+_49212707.23-P1_h1_Top5	CACNB3_P1	3274.0	6809.0	7015.0
CACNB3_-_49209408.23-P2_h1_Top5	CACNB3_P2	1281.0	3863.0	3151.0
CACNB3_-_49209594.23-P2_h1_Top5	CACNB3_P2	644.0	1072.0	918.0
CACNB3_-_49209628.23-P2_h1_Top5	CACNB3_P2	1968.0	4841.0	4168.0
CACNB3_-_49212309.23-P1_h1_Top5	CACNB3_P1	1428.0	3612.0	2790.0
CACNB4_+_152830050.23-ENST00000360283.6,ENST00000534999.1_h1_Top5	CACNB4_ENST00000360283.6,ENST00000534999.1	3697.0	8923.0	8860.0
CACNB4_+_152830465.23-ENST00000360283.6,ENST00000534999.1_h1_Top5	CACNB4_ENST00000360283.6,ENST00000534999.1	545.0	1734.0	1636.0
CACNB4_+_152830507.23-ENST00000360283.6,ENST00000534999.1_h1_Top5	CACNB4_ENST00000360283.6,ENST00000534999.1	3042.0	7254.0	7227.0
CACNB4_-_152830409.23-ENST00000360283.6,ENST00000534999.1_h1_Top5	CACNB4_ENST00000360283.6,ENST00000534999.1	159.0	387.0	340.0
CACNB4_-_152830517.23-ENST00000360283.6,ENST00000534999.1_h1_Top5	CACNB4_ENST00000360283.6,ENST00000534999.1	2309.0	4727.0	6258.0
CACNG1_+_65040694.23-P1P2_h1_Top5	CACNG1	2322.0	4773.0	4593.0
CACNG1_+_65040715.23-P1P2_h1_Top5	CACNG1	919.0	1398.0	1635.0
CACNG1_+_65040719.23-P1P2_h1_Top5	CACNG1	1038.0	3051.0	2771.0
CACNG1_+_65040747.23-P1P2_h1_Top5	CACNG1	1624.0	3255.0	3437.0
CACNG1_-_65040753.23-P1P2_h1_Top5	CACNG1	1685.0	4334.0	4590.0
CALM1_+_90863400.23-P1P2_h1_Top5	CALM1	994.0	2194.0	2257.0
CALM1_+_90863405.23-P1P2_h1_Top5	CALM1	930.0	2001.0	2410.0
CALM1_+_90863779.23-P1P2_h1_Top5	CALM1	690.0	1417.0	1446.0
CALM1_-_90863396.23-P1P2_h1_Top5	CALM1	1979.0	5080.0	4454.0
CALM1_-_90863816.23-P1P2_h1_Top5	CALM1	3644.0	9258.0	10141.0
CALM2_+_47403639.23-P1P2_h1_Top5	CALM2	2615.0	5840.0	6605.0
CALM2_+_47403965.23-P1P2_h1_Top5	CALM2	3330.0	7811.0	8216.0
CALM2_+_47404016.23-P1P2_h1_Top5	CALM2	2327.0	4702.0	5415.0
CALM2_-_47403403.23-P1P2_h1_Top5	CALM2	855.0	2603.0	2700.0
CALM2_-_47403900.23-P1P2_h1_Top5	CALM2	678.0	1088.0	1582.0
CALM3_+_47104530.23-ENST00000291295.9_h1_Top5	CALM3_ENST00000291295.9	917.0	2329.0	2122.0
CALM3_-_47104549.23-ENST00000291295.9_h1_Top5	CALM3_ENST00000291295.9	1375.0	2960.0	3110.0
CALM3_-_47104749.23-ENST00000291295.9_h1_Top5	CALM3_ENST00000291295.9	98.0	201.0	285.0
CALM3_-_47104879.23-ENST00000291295.9_h1_Top5	CALM3_ENST00000291295.9	1939.0	4250.0	4454.0
CALM3_-_47104989.23-ENST00000291295.9_h1_Top5	CALM3_ENST00000291295.9	2183.0	3243.0	3115.0
CALR_+_13049424.23-P1P2_h1_Top5	CALR	615.0	1616.0	1431.0
CALR_+_13049478.23-P1P2_h1_Top5	CALR	905.0	991.0	702.0
CALR_-_13049450.23-P1P2_h1_Top5	CALR	2261.0	5209.0	5542.0
CALR_-_13049826.23-P1P2_h1_Top5	CALR	1919.0	5466.0	4424.0
CALR_-_13050827.23-P1P2_h1_Top5	CALR	2570.0	7349.0	7365.0
CALY_+_135139581.23-P2_h1_Top5	CALY_P2	1504.0	3448.0	3170.0
CALY_+_135139764.23-P2_h1_Top5	CALY_P2	2572.0	5803.0	5001.0
CALY_+_135149991.23-P1_h1_Top5	CALY_P1	4074.0	9777.0	10131.0
CALY_+_135150007.23-P1_h1_Top5	CALY_P1	3175.0	6800.0	7812.0
CALY_-_135139307.23-P2_h1_Top5	CALY_P2	535.0	1160.0	1435.0
CALY_-_135139731.23-P2_h1_Top5	CALY_P2	2186.0	4609.0	5737.0
CALY_-_135139792.23-P2_h1_Top5	CALY_P2	8.0	164.0	212.0
CALY_-_135150342.23-P1_h1_Top5	CALY_P1	1252.0	3467.0	4490.0
CALY_-_135150351.23-P1_h1_Top5	CALY_P1	1395.0	4323.0	3723.0
CALY_-_135150376.23-P1_h1_Top5	CALY_P1	873.0	1877.0	2072.0
CAMK1D_+_12391983.23-P1P2_h1_Top5	CAMK1D	3910.0	8931.0	9263.0
CAMK1D_+_12392022.23-P1P2_h1_Top5	CAMK1D	845.0	2093.0	1928.0
CAMK1D_+_12392167.23-P1P2_h1_Top5	CAMK1D	1352.0	2368.0	2360.0
CAMK1D_-_12391587.23-P1P2_h1_Top5	CAMK1D	698.0	1706.0	1537.0
CAMK1D_-_12391597.23-P1P2_h1_Top5	CAMK1D	1341.0	2837.0	3250.0
CAMK1G_+_209757057.23-P1_h1_Top5	CAMK1G_P1	1044.0	2297.0	2179.0
CAMK1G_+_209757104.23-P1_h1_Top5	CAMK1G_P1	2309.0	5887.0	5957.0
CAMK1G_+_209757456.23-P1_h1_Top5	CAMK1G_P1	655.0	876.0	1429.0
CAMK1G_+_209781037.23-P2_h1_Top5	CAMK1G_P2	3666.0	8727.0	10942.0
CAMK1G_+_209781053.23-P2_h1_Top5	CAMK1G_P2	2063.0	6044.0	6231.0
CAMK1G_+_209781059.23-P2_h1_Top5	CAMK1G_P2	902.0	2378.0	2699.0
CAMK1G_+_209781088.23-P2_h1_Top5	CAMK1G_P2	2117.0	4586.0	4615.0
CAMK1G_-_209757073.23-P1_h1_Top5	CAMK1G_P1	1558.0	3418.0	3803.0
CAMK1G_-_209757484.23-P1_h1_Top5	CAMK1G_P1	1814.0	4558.0	4483.0
CAMK1G_-_209781067.23-P2_h1_Top5	CAMK1G_P2	1822.0	4014.0	5083.0
CAMK1_+_9811178.23-P1P2_h1_Top5	CAMK1	1479.0	2032.0	2413.0
CAMK1_+_9811259.23-P1P2_h1_Top5	CAMK1	736.0	1006.0	1206.0
CAMK1_+_9811576.23-P1P2_h1_Top5	CAMK1	379.0	511.0	484.0
CAMK1_-_9811423.23-P1P2_h1_Top5	CAMK1	706.0	1821.0	2429.0
CAMK1_-_9811451.23-P1P2_h1_Top5	CAMK1	2008.0	4188.0	4742.0
CAMK2A_+_149668898.23-P1P2_h1_Top5	CAMK2A	1695.0	4685.0	5649.0
CAMK2A_+_149669087.23-P1P2_h1_Top5	CAMK2A	1937.0	3492.0	3364.0
CAMK2A_+_149669255.23-P1P2_h1_Top5	CAMK2A	724.0	1650.0	1783.0
CAMK2A_+_149669276.23-P1P2_h1_Top5	CAMK2A	1063.0	1069.0	1299.0
CAMK2A_+_149669307.23-P1P2_h1_Top5	CAMK2A	939.0	1547.0	1447.0
CAMK2B_+_44364942.23-P1P2_h1_Top5	CAMK2B	3217.0	7138.0	7962.0
CAMK2B_+_44364958.23-P1P2_h1_Top5	CAMK2B	805.0	2235.0	2554.0
CAMK2B_-_44364988.23-P1P2_h1_Top5	CAMK2B	2407.0	5541.0	5815.0
CAMK2B_-_44365012.23-P1P2_h1_Top5	CAMK2B	1706.0	3527.0	4399.0
CAMK2B_-_44365131.23-P1P2_h1_Top5	CAMK2B	1853.0	3837.0	2998.0
CAMK2D_+_114682914.23-P1P2_h1_Top5	CAMK2D	1804.0	3471.0	3850.0
CAMK2D_-_114682323.23-P1P2_h1_Top5	CAMK2D	665.0	2314.0	2576.0
CAMK2D_-_114682840.23-P1P2_h1_Top5	CAMK2D	1164.0	2481.0	2720.0
CAMK2D_-_114682878.23-P1P2_h1_Top5	CAMK2D	1716.0	4446.0	3783.0
CAMK2D_-_114682883.23-P1P2_h1_Top5	CAMK2D	1332.0	3301.0	3425.0
CAMK2G_+_75634255.23-P1P2_h1_Top5	CAMK2G	2448.0	5155.0	5412.0
CAMK2G_-_75633906.23-P1P2_h1_Top5	CAMK2G	2138.0	732.0	1147.0
CAMK2G_-_75634117.23-P1P2_h1_Top5	CAMK2G	1470.0	3000.0	3012.0
CAMK2G_-_75634264.23-P1P2_h1_Top5	CAMK2G	1531.0	4160.0	3913.0
CAMK2G_-_75634301.23-P1P2_h1_Top5	CAMK2G	754.0	1770.0	2159.0
CAMK2N1_-_20812260.23-P1P2_h1_Top5	CAMK2N1	1888.0	3099.0	3745.0
CAMK2N1_-_20812324.23-P1P2_h1_Top5	CAMK2N1	1074.0	2590.0	3357.0
CAMK2N1_-_20812336.23-P1P2_h1_Top5	CAMK2N1	1502.0	3689.0	3981.0
CAMK2N1_-_20812403.23-P1P2_h1_Top5	CAMK2N1	1495.0	4906.0	4463.0
CAMK2N1_-_20812471.23-P1P2_h1_Top5	CAMK2N1	892.0	1901.0	1573.0
CAMK4_+_110560439.23-P1P2_h1_Top5	CAMK4	2967.0	7056.0	7881.0
CAMK4_+_110560518.23-P1P2_h1_Top5	CAMK4	321.0	668.0	529.0
CAMK4_+_110560576.23-P1P2_h1_Top5	CAMK4	2059.0	4868.0	3776.0
CAMK4_-_110560134.23-P1P2_h1_Top5	CAMK4	1094.0	3633.0	3289.0
CAMK4_-_110560347.23-P1P2_h1_Top5	CAMK4	1658.0	3091.0	2755.0
CAMKK1_+_3796149.23-P1P2_h1_Top5	CAMKK1	311.0	89.0	58.0
CAMKK1_+_3796272.23-P1P2_h1_Top5	CAMKK1	1217.0	3172.0	2956.0
CAMKK1_-_3795976.23-P1P2_h1_Top5	CAMKK1	819.0	2349.0	1642.0
CAMKK1_-_3796085.23-P1P2_h1_Top5	CAMKK1	1755.0	4263.0	4294.0
CAMKK1_-_3796331.23-P1P2_h1_Top5	CAMKK1	506.0	943.0	811.0
CAMKK2_+_121734109.23-P1P2_h1_Top5	CAMKK2	1438.0	2885.0	3314.0
CAMKK2_+_121734321.23-P1P2_h1_Top5	CAMKK2	2198.0	4615.0	5549.0
CAMKK2_-_121734139.23-P1P2_h1_Top5	CAMKK2	1554.0	4700.0	4238.0
CAMKK2_-_121734444.23-P1P2_h1_Top5	CAMKK2	2377.0	5408.0	5931.0
CAMKK2_-_121734488.23-P1P2_h1_Top5	CAMKK2	893.0	1613.0	1444.0
CAMKV_+_49906896.23-P1P2_h1_Top5	CAMKV	2689.0	7070.0	7326.0
CAMKV_+_49907271.23-P1P2_h1_Top5	CAMKV	574.0	1692.0	1369.0
CAMKV_+_49907311.23-P1P2_h1_Top5	CAMKV	4665.0	10229.0	10319.0
CAMKV_-_49906913.23-P1P2_h1_Top5	CAMKV	2015.0	4976.0	5601.0
CAMKV_-_49907319.23-P1P2_h1_Top5	CAMKV	1003.0	2859.0	2083.0
CAMLG_+_134074236.23-P1P2_h1_Top5	CAMLG	1267.0	198.0	466.0
CAMLG_+_134074249.23-P1P2_h1_Top5	CAMLG	3078.0	715.0	900.0
CAMLG_+_134074282.23-P1P2_h1_Top5	CAMLG	1059.0	285.0	438.0
CAMLG_+_134074669.23-P1P2_h1_Top5	CAMLG	1347.0	5442.0	4535.0
CAMLG_-_134074322.23-P1P2_h1_Top5	CAMLG	1541.0	1442.0	1630.0
CAMP_+_48265026.23-P1P2_h1_Top5	CAMP	2985.0	9079.0	9880.0
CAMP_+_48265373.23-P1P2_h1_Top5	CAMP	2647.0	7493.0	6744.0
CAMP_-_48264975.23-P1P2_h1_Top5	CAMP	876.0	1778.0	2423.0
CAMP_-_48264983.23-P1P2_h1_Top5	CAMP	2784.0	6731.0	7055.0
CAMP_-_48265020.23-P1P2_h1_Top5	CAMP	796.0	83.0	115.0
CANT1_+_77005768.23-P1P2_h1_Top5	CANT1	958.0	1802.0	2437.0
CANT1_-_77005380.23-P1P2_h1_Top5	CANT1	2015.0	3011.0	3868.0
CANT1_-_77005406.23-P1P2_h1_Top5	CANT1	3060.0	7220.0	7057.0
CANT1_-_77005439.23-P1P2_h1_Top5	CANT1	1293.0	3946.0	3249.0
CANT1_-_77005778.23-P1P2_h1_Top5	CANT1	1357.0	3835.0	4122.0
CANX_+_179125981.23-P1_h1_Top5	CANX_P1	1451.0	2884.0	3227.0
CANX_+_179126015.23-P1_h1_Top5	CANX_P1	1103.0	3444.0	3365.0
CANX_+_179126021.23-P1_h1_Top5	CANX_P1	1032.0	2589.0	2365.0
CANX_+_179133102.23-P2_h1_Top5	CANX_P2	4586.0	10729.0	10176.0
CANX_-_179125947.23-P1_h1_Top5	CANX_P1	1847.0	4105.0	4181.0
CANX_-_179126011.23-P1_h1_Top5	CANX_P1	1022.0	2792.0	2163.0
CANX_-_179132749.23-P2_h1_Top5	CANX_P2	2396.0	5657.0	5986.0
CANX_-_179132963.23-P2_h1_Top5	CANX_P2	1617.0	2748.0	3483.0
CANX_-_179133132.23-P2_h1_Top5	CANX_P2	2854.0	7765.0	7832.0
CANX_-_179133208.23-P2_h1_Top5	CANX_P2	8457.0	24410.0	25516.0
CAPN1_+_64949419.23-P1P2_h1_Top5	CAPN1	1669.0	3867.0	4795.0
CAPN1_+_64949444.23-P1P2_h1_Top5	CAPN1	5278.0	11962.0	11234.0
CAPN1_+_64949477.23-P1P2_h1_Top5	CAPN1	1274.0	3240.0	3332.0
CAPN1_+_64949856.23-P1P2_h1_Top5	CAPN1	2945.0	8083.0	7291.0
CAPN1_-_64949451.23-P1P2_h1_Top5	CAPN1	1048.0	2537.0	2570.0
CAPNS1_+_36631379.23-P1P2_h1_Top5	CAPNS1	2540.0	6842.0	6813.0
CAPNS1_+_36631398.23-P1P2_h1_Top5	CAPNS1	561.0	1148.0	963.0
CAPNS1_+_36631483.23-P1P2_h1_Top5	CAPNS1	432.0	329.0	249.0
CAPNS1_-_36631046.23-P1P2_h1_Top5	CAPNS1	1386.0	2342.0	2520.0
CAPNS1_-_36631056.23-P1P2_h1_Top5	CAPNS1	1014.0	2130.0	1814.0
CARTPT_+_71015180.23-P1P2_h1_Top5	CARTPT	1194.0	2004.0	1935.0
CARTPT_+_71015560.23-P1P2_h1_Top5	CARTPT	1809.0	3756.0	3772.0
CARTPT_-_71015511.23-P1P2_h1_Top5	CARTPT	3502.0	11312.0	10536.0
CARTPT_-_71015526.23-P1P2_h1_Top5	CARTPT	574.0	1124.0	1531.0
CARTPT_-_71015538.23-P1P2_h1_Top5	CARTPT	2319.0	4642.0	4869.0
CASK_+_41782332.23-P1P2_h1_Top5	CASK	790.0	1538.0	1662.0
CASK_+_41782335.23-P1P2_h1_Top5	CASK	1893.0	2076.0	2794.0
CASK_-_41782259.23-P1P2_h1_Top5	CASK	693.0	846.0	776.0
CASK_-_41782289.23-P1P2_h1_Top5	CASK	2305.0	5176.0	5304.0
CASK_-_41782698.23-P1P2_h1_Top5	CASK	1030.0	2877.0	3329.0
CASP7_+_115439705.23-P1P2_h1_Top5	CASP7	780.0	1312.0	1329.0
CASP7_+_115439715.23-P1P2_h1_Top5	CASP7	806.0	1434.0	1683.0
CASP7_+_115439718.23-P1P2_h1_Top5	CASP7	2496.0	5679.0	6362.0
CASP7_+_115440132.23-P1P2_h1_Top5	CASP7	1180.0	1874.0	2246.0
CASP7_-_115439692.23-P1P2_h1_Top5	CASP7	1612.0	4083.0	4735.0
CASR_+_121902901.23-P1P2_h1_Top5	CASR	978.0	1878.0	2319.0
CASR_+_121902954.23-P1P2_h1_Top5	CASR	1699.0	4034.0	3727.0
CASR_-_121902593.23-P1P2_h1_Top5	CASR	714.0	1459.0	1726.0
CASR_-_121902759.23-P1P2_h1_Top5	CASR	504.0	1442.0	1303.0
CASR_-_121903029.23-P1P2_h1_Top5	CASR	1902.0	3275.0	3174.0
CAST_+_95998193.23-P2_h1_Top5	CAST_P2	2101.0	4264.0	5357.0
CAST_+_95998268.23-P2_h1_Top5	CAST_P2	1222.0	2896.0	2949.0
CAST_+_96038587.23-P1_h1_Top5	CAST_P1	1354.0	3390.0	4302.0
CAST_+_96038681.23-P1_h1_Top5	CAST_P1	1538.0	2847.0	2910.0
CAST_+_96038695.23-P1_h1_Top5	CAST_P1	1992.0	3532.0	4129.0
CAST_-_95997966.23-P2_h1_Top5	CAST_P2	2155.0	651.0	684.0
CAST_-_95997979.23-P2_h1_Top5	CAST_P2	2821.0	8058.0	8105.0
CAST_-_95998431.23-P2_h1_Top5	CAST_P2	2239.0	2586.0	2505.0
CAST_-_96038519.23-P1_h1_Top5	CAST_P1	1580.0	2700.0	2522.0
CAST_-_96038545.23-P1_h1_Top5	CAST_P1	359.0	633.0	654.0
CAT_+_34460511.23-P1_h1_Top5	CAT_P1	1148.0	2267.0	2112.0
CAT_+_34460525.23-P1_h1_Top5	CAT_P1	1353.0	2679.0	2572.0
CAT_+_34460551.23-P1_h1_Top5	CAT_P1	1954.0	3886.0	5034.0
CAT_+_34478217.23-P2_h1_Top5	CAT_P2	1993.0	4415.0	4442.0
CAT_-_34460507.23-P1_h1_Top5	CAT_P1	741.0	1526.0	1936.0
CAT_-_34460861.23-P1_h1_Top5	CAT_P1	1901.0	3784.0	4265.0
CAT_-_34478248.23-P2_h1_Top5	CAT_P2	2947.0	5992.0	6315.0
CAT_-_34478256.23-P2_h1_Top5	CAT_P2	216.0	391.0	446.0
CAT_-_34478267.23-P2_h1_Top5	CAT_P2	2066.0	5597.0	4674.0
CAT_-_34478703.23-P2_h1_Top5	CAT_P2	2984.0	6725.0	6861.0
CBR1_+_37442295.23-P1P2_h1_Top5	CBR1	2444.0	5948.0	5883.0
CBR1_+_37442368.23-P1P2_h1_Top5	CBR1	1003.0	2034.0	2130.0
CBR1_-_37442302.23-P1P2_h1_Top5	CBR1	1667.0	4049.0	4434.0
CBR1_-_37442339.23-P1P2_h1_Top5	CBR1	2376.0	6023.0	5967.0
CBR1_-_37442702.23-P1P2_h1_Top5	CBR1	2421.0	5362.0	6035.0
CBS_-_44495505.23-P1P2_h1_Top5	CBS	1641.0	3778.0	4137.0
CBS_-_44495867.23-P1P2_h1_Top5	CBS	2857.0	6579.0	7721.0
CBS_-_44495886.23-P1P2_h1_Top5	CBS	1587.0	3960.0	5211.0
CBS_-_44495894.23-P1P2_h1_Top5	CBS	1389.0	2361.0	3296.0
CBS_-_44495934.23-P1P2_h1_Top5	CBS	1656.0	5349.0	4775.0
CCBL1_+_131644175.23-P1P2_h1_Top5	CCBL1	162.0	411.0	137.0
CCBL1_+_131644186.23-P1P2_h1_Top5	CCBL1	2909.0	5685.0	5814.0
CCBL1_+_131644194.23-P1P2_h1_Top5	CCBL1	3290.0	7462.0	7188.0
CCBL1_+_131644214.23-P1P2_h1_Top5	CCBL1	3006.0	7629.0	9096.0
CCBL1_-_131644221.23-P1P2_h1_Top5	CCBL1	3125.0	5935.0	6382.0
CCBL2_+_89458258.23-P1P2_h1_Top5	CCBL2	968.0	3238.0	2643.0
CCBL2_+_89458266.23-P1P2_h1_Top5	CCBL2	1572.0	4156.0	4126.0
CCBL2_+_89458283.23-P1P2_h1_Top5	CCBL2	1031.0	2102.0	2509.0
CCBL2_+_89458288.23-P1P2_h1_Top5	CCBL2	1523.0	4347.0	3808.0
CCBL2_+_89458291.23-P1P2_h1_Top5	CCBL2	1471.0	2790.0	3836.0
CCKAR_+_26491666.23-P1P2_h1_Top5	CCKAR	1415.0	4334.0	4102.0
CCKAR_+_26491712.23-P1P2_h1_Top5	CCKAR	3320.0	7089.0	7058.0
CCKAR_+_26492035.23-P1P2_h1_Top5	CCKAR	238.0	298.0	815.0
CCKAR_+_26492061.23-P1P2_h1_Top5	CCKAR	1709.0	3815.0	3742.0
CCKAR_-_26491843.23-P1P2_h1_Top5	CCKAR	449.0	593.0	674.0
CCL8_+_32646505.23-P1P2_h1_Top5	CCL8	450.0	1042.0	1038.0
CCL8_+_32646511.23-P1P2_h1_Top5	CCL8	916.0	1451.0	2076.0
CCL8_+_32646710.23-P1P2_h1_Top5	CCL8	2924.0	6426.0	6392.0
CCL8_-_32646449.23-P1P2_h1_Top5	CCL8	2746.0	6790.0	5768.0
CCL8_-_32646459.23-P1P2_h1_Top5	CCL8	2233.0	4835.0	4836.0
CCR5_+_46412474.23-P1P2_h1_Top5	CCR5	649.0	1591.0	1477.0
CCR5_+_46412818.23-P1P2_h1_Top5	CCR5	2460.0	6117.0	6462.0
CCR5_+_46412844.23-P1P2_h1_Top5	CCR5	329.0	862.0	670.0
CCR5_+_46412888.23-P1P2_h1_Top5	CCR5	3320.0	7660.0	7862.0
CCR5_-_46412917.23-P1P2_h1_Top5	CCR5	1014.0	2585.0	2516.0
CCT3_+_156308067.23-P1P2_h1_Top5	CCT3	28.0	209.0	299.0
CCT3_-_156307687.23-P1P2_h1_Top5	CCT3	378.0	431.0	310.0
CCT3_-_156307863.23-P1P2_h1_Top5	CCT3	160.0	631.0	367.0
CCT3_-_156307976.23-P1P2_h1_Top5	CCT3	77.0	477.0	407.0
CCT3_-_156307996.23-P1P2_h1_Top5	CCT3	746.0	518.0	615.0
CD1A_+_158224667.23-P1P2_h1_Top5	CD1A	3173.0	6983.0	6693.0
CD1A_-_158224219.23-P1P2_h1_Top5	CD1A	3326.0	8348.0	7803.0
CD1A_-_158224222.23-P1P2_h1_Top5	CD1A	1615.0	3691.0	3508.0
CD1A_-_158224302.23-P1P2_h1_Top5	CD1A	1860.0	4709.0	4566.0
CD1A_-_158224724.23-P1P2_h1_Top5	CD1A	1777.0	4137.0	4617.0
CD1D_+_158150733.23-P1P2_h1_Top5	CD1D	1705.0	3051.0	3191.0
CD1D_+_158151143.23-P1P2_h1_Top5	CD1D	1269.0	2981.0	3871.0
CD1D_-_158150703.23-P1P2_h1_Top5	CD1D	3939.0	8990.0	8759.0
CD1D_-_158150719.23-P1P2_h1_Top5	CD1D	1907.0	5307.0	6310.0
CD1D_-_158150739.23-P1P2_h1_Top5	CD1D	2559.0	4204.0	4838.0
CD209_+_7811980.23-P1P2_h1_Top5	CD209	995.0	1623.0	2147.0
CD209_+_7812402.23-P1P2_h1_Top5	CD209	359.0	150.0	288.0
CD209_+_7812451.23-P1P2_h1_Top5	CD209	1557.0	3971.0	4226.0
CD209_+_7812455.23-P1P2_h1_Top5	CD209	6392.0	13051.0	14846.0
CD209_-_7812435.23-P1P2_h1_Top5	CD209	1502.0	2614.0	3272.0
CD247_+_167487323.23-P1P2_h1_Top5	CD247	904.0	1940.0	1943.0
CD247_+_167487350.23-P1P2_h1_Top5	CD247	2308.0	5926.0	5584.0
CD247_+_167487623.23-P1P2_h1_Top5	CD247	2192.0	5642.0	5700.0
CD247_-_167487282.23-P1P2_h1_Top5	CD247	569.0	1712.0	1701.0
CD247_-_167487768.23-P1P2_h1_Top5	CD247	1380.0	2190.0	2996.0
CD33_+_51729005.23-P1P2_h1_Top5	CD33	1400.0	2099.0	2298.0
CD33_+_51729086.23-P1P2_h1_Top5	CD33	2160.0	4317.0	4673.0
CD33_+_51729159.23-P1P2_h1_Top5	CD33	413.0	270.0	505.0
CD33_+_51729507.23-P1P2_h1_Top5	CD33	2215.0	6128.0	6510.0
CD33_-_51728897.23-P1P2_h1_Top5	CD33	2393.0	5658.0	6279.0
CD3D_+_118213247.23-P1P2_h1_Top5	CD3D	2323.0	5674.0	5631.0
CD3D_+_118213387.23-P1P2_h1_Top5	CD3D	1095.0	3281.0	2869.0
CD3D_+_118213391.23-P1P2_h1_Top5	CD3D	1670.0	2794.0	2655.0
CD3D_-_118213331.23-P1P2_h1_Top5	CD3D	2084.0	4758.0	5018.0
CD3D_-_118213377.23-P1P2_h1_Top5	CD3D	1131.0	2863.0	2491.0
CD3E_+_118175516.23-P1P2_h1_Top5	CD3E	1075.0	3145.0	2943.0
CD3E_+_118175886.23-P1P2_h1_Top5	CD3E	460.0	659.0	862.0
CD3E_-_118175491.23-P1P2_h1_Top5	CD3E	2598.0	5626.0	5188.0
CD3E_-_118175687.23-P1P2_h1_Top5	CD3E	2284.0	6599.0	5669.0
CD3E_-_118175913.23-P1P2_h1_Top5	CD3E	1894.0	4033.0	3772.0
CD3G_+_118215108.23-P1P2_h1_Top5	CD3G	1772.0	4118.0	3637.0
CD3G_+_118215119.23-P1P2_h1_Top5	CD3G	1198.0	2266.0	3552.0
CD3G_+_118215516.23-P1P2_h1_Top5	CD3G	774.0	2171.0	2304.0
CD3G_-_118215053.23-P1P2_h1_Top5	CD3G	245.0	473.0	839.0
CD3G_-_118215076.23-P1P2_h1_Top5	CD3G	1408.0	3378.0	3209.0
CD46_+_207925463.23-P1P2_h1_Top5	CD46	495.0	906.0	1126.0
CD46_+_207925964.23-P1P2_h1_Top5	CD46	1058.0	3516.0	3143.0
CD46_-_207925473.23-P1P2_h1_Top5	CD46	2330.0	5594.0	5690.0
CD46_-_207925851.23-P1P2_h1_Top5	CD46	825.0	1684.0	2367.0
CD46_-_207925976.23-P1P2_h1_Top5	CD46	1062.0	3046.0	3051.0
CD4_+_6898750.23-P1P2_h1_Top5	CD4	2512.0	5607.0	6997.0
CD4_+_6898908.23-P1P2_h1_Top5	CD4	3571.0	6652.0	6721.0
CD4_-_6899142.23-P1P2_h1_Top5	CD4	2357.0	5968.0	6305.0
CD4_-_6899161.23-P1P2_h1_Top5	CD4	1885.0	4560.0	4143.0
CD4_-_6899175.23-P1P2_h1_Top5	CD4	2583.0	7299.0	5183.0
CD52_+_26644443.23-P1P2_h1_Top5	CD52	1934.0	5334.0	6197.0
CD52_+_26644446.23-P1P2_h1_Top5	CD52	2253.0	5500.0	5099.0
CD52_+_26644480.23-P1P2_h1_Top5	CD52	5487.0	11012.0	12392.0
CD52_+_26644903.23-P1P2_h1_Top5	CD52	3283.0	8600.0	7880.0
CD52_-_26644811.23-P1P2_h1_Top5	CD52	649.0	1597.0	2540.0
CD55_+_207495045.23-P1P2_h1_Top5	CD55	2701.0	7336.0	6443.0
CD55_+_207495088.23-P1P2_h1_Top5	CD55	1945.0	4260.0	5234.0
CD55_+_207495720.23-P1P2_h1_Top5	CD55	3215.0	6973.0	7866.0
CD55_-_207495079.23-P1P2_h1_Top5	CD55	905.0	1605.0	1751.0
CD55_-_207495267.23-P1P2_h1_Top5	CD55	739.0	1226.0	843.0
CD80_+_119278427.23-P1P2_h1_Top5	CD80	2269.0	4397.0	5192.0
CD80_-_119278036.23-P1P2_h1_Top5	CD80	2449.0	6417.0	7923.0
CD80_-_119278157.23-P1P2_h1_Top5	CD80	4531.0	10951.0	10802.0
CD80_-_119278188.23-P1P2_h1_Top5	CD80	3731.0	9409.0	9781.0
CD80_-_119278501.23-P1P2_h1_Top5	CD80	1207.0	1901.0	2148.0
CD86_+_121774694.23-P1_h1_Top5	CD86_P1	1098.0	1777.0	1418.0
CD86_+_121796717.23-P2_h1_Top5	CD86_P2	2898.0	7490.0	7120.0
CD86_-_121774225.23-P1_h1_Top5	CD86_P1	4160.0	9692.0	9283.0
CD86_-_121774236.23-P1_h1_Top5	CD86_P1	1273.0	2694.0	3645.0
CD86_-_121774287.23-P1_h1_Top5	CD86_P1	4103.0	8332.0	9245.0
CD86_-_121774297.23-P1_h1_Top5	CD86_P1	1875.0	3482.0	3795.0
CD86_-_121796729.23-P2_h1_Top5	CD86_P2	2923.0	6647.0	6490.0
CD86_-_121796768.23-P2_h1_Top5	CD86_P2	1478.0	2411.0	2973.0
CD86_-_121796926.23-P2_h1_Top5	CD86_P2	2255.0	4772.0	4635.0
CD86_-_121797180.23-P2_h1_Top5	CD86_P2	2806.0	6419.0	6403.0
CDA_+_20915608.23-P1P2_h1_Top5	CDA	2868.0	7056.0	6207.0
CDA_+_20915714.23-P1P2_h1_Top5	CDA	1335.0	3518.0	3466.0
